Symbol,Contract,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-12 09:33:00,2026-08-14 10:30:00,2 days 00:57:00,269,24450.0 / 24550.0,65,50.15,6500.0,Target Hit (50% Premium Decay),1680.25,25.85
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-12 09:48:00,2026-08-17 09:15:00,4 days 23:27:00,364,24400.0 / 24500.0,65,50.55,6500.0,Time Stop (Max 3 Days Hit),2063.75,31.75
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-12 10:30:00,2026-08-17 09:15:00,4 days 22:45:00,350,24350.0 / 24450.0,65,55.85,6500.0,Time Stop (Max 3 Days Hit),1823.25,28.05
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-13 11:03:00,2026-08-17 09:15:00,3 days 22:12:00,214,24350.0 / 24450.0,65,46.65,6500.0,Time Stop (Max 3 Days Hit),1225.25,18.85
NIFTY,NIFTY SPOT,PE_SPREAD,2026-08-14 09:15:00,2026-08-17 09:18:00,3 days 00:03:00,126,24350.0 / 24250.0,65,38.5,6500.0,Time Stop (Max 3 Days Hit),-458.25,-7.05
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-14 09:18:00,2026-08-17 09:21:00,3 days 00:03:00,126,24300.0 / 24400.0,65,51.75,6500.0,Time Stop (Max 3 Days Hit),689.0,10.6
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-14 10:15:00,2026-08-17 10:15:00,3 days 00:00:00,125,24350.0 / 24450.0,65,46.1,6500.0,Target Hit (50% Premium Decay),1647.75,25.35
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-14 10:21:00,2026-08-17 10:15:00,2 days 23:54:00,123,24350.0 / 24450.0,65,45.05,6500.0,Target Hit (50% Premium Decay),1579.5,24.3
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-17 09:57:00,2026-08-17 15:27:00,0 days 05:30:00,110,24300.0 / 24400.0,65,34.45,6500.0,Monday Pre-Expiry Auto Square-Off,-1131.0,-17.4
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-17 10:12:00,2026-08-17 15:27:00,0 days 05:15:00,105,24300.0 / 24400.0,65,35.05,6500.0,Monday Pre-Expiry Auto Square-Off,-1092.0,-16.8
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-17 11:00:00,2026-08-17 15:27:00,0 days 04:27:00,89,24250.0 / 24350.0,65,40.35,6500.0,Monday Pre-Expiry Auto Square-Off,-1631.5,-25.1
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-18 10:03:00,2026-08-18 14:24:00,0 days 04:21:00,87,24200.0 / 24300.0,65,40.55,6500.0,Target Hit (50% Premium Decay),1381.25,21.25
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-18 10:42:00,2026-08-18 15:12:00,0 days 04:30:00,90,24200.0 / 24300.0,65,35.85,6500.0,Target Hit (50% Premium Decay),1287.0,19.8
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-18 10:45:00,2026-08-18 15:18:00,0 days 04:33:00,91,24200.0 / 24300.0,65,29.8,6500.0,Target Hit (50% Premium Decay),1010.75,15.55
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-12 09:33:00,2026-08-12 10:57:00,0 days 01:24:00,28,78100.0 / 78300.0,20,93.85,4000.0,Target Hit (50% Premium Decay),1028.0,25.7
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-12 10:30:00,2026-08-13 15:39:00,1 days 05:09:00,225,77800.0 / 78000.0,20,106.7,4000.0,Contract Expired (Failsafe Exit),-1862.0,-46.55
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-12 10:42:00,2026-08-13 15:39:00,1 days 04:57:00,221,77800.0 / 78000.0,20,101.25,4000.0,Contract Expired (Failsafe Exit),-1971.0,-49.27
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-13 11:03:00,2026-08-13 15:24:00,0 days 04:21:00,87,77700.0 / 77900.0,20,85.2,4000.0,SL Hit (100% Premium Appreciation),-2193.0,-54.83
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-13 11:15:00,2026-08-13 13:54:00,0 days 02:39:00,53,77700.0 / 77900.0,20,81.4,4000.0,SL Hit (100% Premium Appreciation),-1685.0,-42.12
SENSEX,SENSEX SPOT,PE_SPREAD,2026-08-13 13:39:00,2026-08-13 15:24:00,0 days 01:45:00,35,77900.0 / 77700.0,20,54.8,4000.0,Target Hit (50% Premium Decay),1025.0,25.63
