Symbol,Signal,Type,Entry Time,Exit Time,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 13:15:00,2026-08-14 15:39:00,2210,24050.0 / 23950.0,65,52.75,6500.0,Data Ended,-747.5,-11.5
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-27 14:00:00,2026-07-28 10:03:00,46,24050.0 / 24150.0,65,23.2,6500.0,Target Hit (50% Premium Decay),906.75,13.95
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 11:45:00,2026-08-03 09:15:00,325,24300.0 / 24400.0,65,38.75,6500.0,SL Hit (100% Premium Appreciation),-3259.1,-50.14
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 12:45:00,2026-08-03 09:15:00,305,24300.0 / 24400.0,65,37.3,6500.0,SL Hit (100% Premium Appreciation),-3353.35,-51.59
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 14:00:00,2026-08-03 09:15:00,280,24300.0 / 24400.0,65,41.65,6500.0,SL Hit (100% Premium Appreciation),-3070.6,-47.24
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 15:15:00,2026-08-03 09:15:00,255,24300.0 / 24400.0,65,38.9,6500.0,SL Hit (100% Premium Appreciation),-3249.35,-49.99
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-07-31 11:15:00,2026-08-03 09:15:00,85,24400.0 / 24500.0,65,36.75,6500.0,SL Hit (100% Premium Appreciation),-2574.0,-39.6
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-08-03 13:00:00,2026-08-04 11:30:00,99,24650.0 / 24750.0,65,18.5,6500.0,Target Hit (50% Premium Decay),610.35,9.39
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-08-05 11:45:00,2026-08-11 09:15:00,466,24700.0 / 24800.0,65,36.75,6500.0,Target Hit (50% Premium Decay),1810.25,27.85
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-08-06 12:15:00,2026-08-10 09:24:00,201,24750.0 / 24850.0,65,38.15,6500.0,Target Hit (50% Premium Decay),1280.5,19.7
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-08-06 15:00:00,2026-08-10 09:27:00,147,24750.0 / 24850.0,65,36.25,6500.0,Target Hit (50% Premium Decay),1222.0,18.8
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-08-07 13:00:00,2026-08-14 15:39:00,699,24650.0 / 24550.0,65,52.25,6500.0,Data Ended,-3133.0,-48.2
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-07-21 12:15:00,2026-08-14 15:39:00,2350,78000.0 / 77800.0,20,140.3,4000.0,Data Ended,-1284.0,-32.1
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 13:15:00,2026-08-14 15:39:00,2205,77100.0 / 76900.0,20,138.35,4000.0,Data Ended,-1221.0,-30.52
SENSEX,Hidden Bear (LH/HH),CE_SPREAD,2026-07-27 13:45:00,2026-07-29 09:15:00,160,77100.0 / 77300.0,20,67.95,4000.0,SL Hit (100% Premium Appreciation),-1500.0,-37.5
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-28 09:45:00,2026-07-29 09:15:00,115,77300.0 / 77500.0,20,57.55,4000.0,SL Hit (100% Premium Appreciation),-1250.0,-31.25
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 15:00:00,2026-07-30 09:15:00,10,78000.0 / 78200.0,20,44.65,4000.0,Target Hit (50% Premium Decay),571.0,14.28
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-08-03 10:00:00,2026-08-04 13:30:00,199,79000.0 / 79200.0,20,67.15,4000.0,Target Hit (50% Premium Decay),689.0,17.23
SENSEX,Hidden Bear (LH/HH),CE_SPREAD,2026-08-03 11:30:00,2026-08-04 13:12:00,163,79000.0 / 79200.0,20,71.7,4000.0,Target Hit (50% Premium Decay),718.0,17.95
SENSEX,Regular Bear (HH/LH),CE_SPREAD,2026-08-04 10:00:00,2026-08-04 12:39:00,53,79100.0 / 79300.0,20,65.1,4000.0,Target Hit (50% Premium Decay),652.0,16.3
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-08-11 12:00:00,2026-08-14 15:39:00,461,78400.0 / 78200.0,20,110.1,4000.0,Data Ended,-1791.0,-44.77
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-08-11 12:45:00,2026-08-14 15:39:00,446,78400.0 / 78200.0,20,102.95,4000.0,Data Ended,-1934.0,-48.35
SENSEX,Hidden Bull (HL/LL),PE_SPREAD,2026-08-11 14:45:00,2026-08-14 15:39:00,406,78500.0 / 78300.0,20,113.1,4000.0,Data Ended,-1732.0,-43.3
SENSEX,Regular Bull (LL/HL),PE_SPREAD,2026-08-12 10:00:00,2026-08-14 15:39:00,372,78200.0 / 78000.0,20,122.6,4000.0,Data Ended,57.0,1.43
